Score,Date,Level,Transit,House,Profection,Aspect,Meaning,Actions,Status,T-Rex2_Memo
6583.4,2034-05-18,PEAK,Pluto->N.Node,7,11,Pluto Conj natal N.Node (6.592°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming,PEAK 05-18 | Pluto->N.Node H7 | Your network is being restructured at a deep level. Pow
6461.6,2026-12-12,PEAK,Neptune->Uranus,6,11,Neptune Sq natal Uranus (0.249°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming,PEAK 12-12 | Neptune->Uranus H6 | Visionary identity. Lead with story.
6372.6,2027-12-15,PEAK,Neptune->Neptune,6,11,Neptune Sq natal Neptune (6.310°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming,PEAK 12-15 | Neptune->Neptune H6 | Visionary identity. Lead with story.
6157.5,2031-05-14,PEAK,Pluto->Pluto,3,11,Pluto Sq natal Pluto (0.049°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming,PEAK 05-14 | Pluto->Pluto H3 | Your network is being restructured at a deep level. Pow
5971.8,2035-05-20,PEAK,Pluto->N.Node,7,11,Pluto Conj natal N.Node (5.090°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming,PEAK 05-20 | Pluto->N.Node H7 | Your network is being restructured at a deep level. Pow
5799.7,2033-05-16,PEAK,Pluto->Pluto,3,11,Pluto Sq natal Pluto (3.048°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming,PEAK 05-16 | Pluto->Pluto H3 | Your network is being restructured at a deep level. Pow
5553.8,2034-03-09,PEAK,Uranus->Uranus,6,11,Uranus Opp natal Uranus (0.063°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming,PEAK 03-09 | Uranus->Uranus H6 | Home base restructuring. Pivot your operational base.
5482.9,2033-03-05,PEAK,Uranus->Uranus,6,11,Uranus Opp natal Uranus (4.354°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming,PEAK 03-05 | Uranus->Uranus H6 | Home base restructuring. Pivot your operational base.
5392.0,2036-10-31,PEAK,Pluto->Moon,7,11,Pluto Conj natal Moon (0.118°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming,PEAK 10-31 | Pluto->Moon H7 | Your network is being restructured at a deep level. Pow
5345.4,2026-12-10,PEAK,Saturn->Saturn,6,11,Saturn Sq natal Saturn (0.107°),Work discipline crystallising. Build the engine.,"Build non-negotiable work routine
Document your processes
Create accountability structures",Upcoming,PEAK 12-10 | Saturn->Saturn H6 | Work discipline crystallising. Build the engine.
5288.1,2031-10-02,PEAK,Uranus->Uranus,6,11,Uranus Opp natal Uranus (4.665°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming,PEAK 10-02 | Uranus->Uranus H6 | Home base restructuring. Pivot your operational base.
5279.3,2034-10-29,PEAK,Pluto->Pluto,3,11,Pluto Sq natal Pluto (2.209°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming,PEAK 10-29 | Pluto->Pluto H3 | Your network is being restructured at a deep level. Pow
5198.1,2028-05-08,PEAK,Pluto->Pluto,3,11,Pluto Sq natal Pluto (4.832°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming,PEAK 05-08 | Pluto->Pluto H3 | Your network is being restructured at a deep level. Pow
5149.6,2029-12-18,PEAK,Neptune->Saturn,6,11,Neptune Sq natal Saturn (0.464°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming,PEAK 12-18 | Neptune->Saturn H6 | Visionary identity. Lead with story.
5083.7,2033-03-04,PEAK,Uranus->Uranus,6,11,Uranus Opp natal Uranus (4.353°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming,PEAK 03-04 | Uranus->Uranus H6 | Home base restructuring. Pivot your operational base.
5042.2,2032-05-15,PEAK,Pluto->Pluto,3,11,Pluto Sq natal Pluto (1.509°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming,PEAK 05-15 | Pluto->Pluto H3 | Your network is being restructured at a deep level. Pow
5033.0,2036-03-18,PEAK,Uranus->Neptune,6,11,Uranus Opp natal Neptune (0.715°),Home base restructuring. Pivot your operational base.,"Restructure workspace
Make a bold operational change
Resolve foundational issues",Upcoming,PEAK 03-18 | Uranus->Neptune H6 | Home base restructuring. Pivot your operational base.
5024.2,2034-03-16,PEAK,Saturn->Neptune,6,11,Saturn Opp natal Neptune (4.115°),Work discipline crystallising. Build the engine.,"Build non-negotiable work routine
Document your processes
Create accountability structures",Upcoming,PEAK 03-16 | Saturn->Neptune H6 | Work discipline crystallising. Build the engine.
5023.3,2029-05-10,PEAK,Pluto->Pluto,3,11,Pluto Sq natal Pluto (3.219°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming,PEAK 05-10 | Pluto->Pluto H3 | Your network is being restructured at a deep level. Pow
5011.1,2027-05-07,PEAK,Pluto->Pluto,3,11,Pluto Sq natal Pluto (6.464°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming,PEAK 05-07 | Pluto->Pluto H3 | Your network is being restructured at a deep level. Pow
5005.1,2036-05-21,PEAK,Pluto->N.Node,7,11,Pluto Conj natal N.Node (3.608°),Your network is being restructured at a deep level. Power connections forming.,"Cut shallow connections
Reach out to 5 key people
Join or build a mission-aligned community",Upcoming,PEAK 05-21 | Pluto->N.Node H7 | Your network is being restructured at a deep level. Pow
4999.5,2029-07-13,PEAK,Neptune->Neptune,6,11,Neptune Sq natal Neptune (0.956°),Visionary identity. Lead with story.,"Articulate your long-term vision
Lead with story not data
Explore a new creative identity",Upcoming,PEAK 07-13 | Neptune->Neptune H6 | Visionary identity. Lead with story.
