Date,Zepp_Recovery_Score_(0-100),Zepp_Stress_Score_(0-100),Mazzaroth_Transit_Intensity_(Score),Mazzaroth_Level,Mazzaroth_Transit_Pair,Notes
2026-03-17,,,3306.4,HIGH,Neptune->Uranus,
2026-03-18,,,3390.2,HIGH,Neptune->Uranus,
2026-03-19,,,3482.1,VERY HIGH,Neptune->Uranus,
2026-03-20,,,3759.9,PEAK,Neptune->Uranus,
2026-03-21,,,3401.7,HIGH,Neptune->Uranus,
2026-03-22,,,3352.0,HIGH,Neptune->Uranus,
2026-03-23,,,3209.5,HIGH,Neptune->Uranus,
2026-03-24,,,3199.5,HIGH,Neptune->Uranus,
2026-03-25,,,3263.1,HIGH,Neptune->Uranus,
2026-03-26,,,3317.2,HIGH,Neptune->Uranus,
2026-03-28,,,3399.2,HIGH,Neptune->Uranus,
2026-03-29,,,3309.9,HIGH,Neptune->Uranus,
2026-03-30,,,3192.0,HIGH,Neptune->Uranus,
2026-03-31,,,3281.5,HIGH,Neptune->Uranus,
2026-04-04,,,3181.4,HIGH,Neptune->Uranus,
2026-04-18,,,3207.7,HIGH,Uranus->N.Node,
2026-04-19,,,3274.2,HIGH,Saturn->Saturn,
2026-05-04,,,3347.5,HIGH,Pluto->Venus,
2026-05-05,,,3438.6,VERY HIGH,Saturn->Neptune,
2026-05-06,,,3517.6,VERY HIGH,Saturn->Neptune,
2026-05-07,,,3475.8,VERY HIGH,Saturn->Neptune,
2026-05-10,,,3242.4,HIGH,Saturn->Neptune,
2026-05-11,,,3241.2,HIGH,Saturn->Neptune,
2026-05-13,,,3200.0,HIGH,Saturn->Neptune,
2026-05-15,,,3324.8,HIGH,Neptune->Neptune,
2026-07-06,,,4876.5,PEAK,Neptune->Neptune,
2026-07-23,,,3356.4,HIGH,Mercury->Neptune,
2026-07-25,,,3993.0,PEAK,Saturn->Neptune,
2026-07-26,,,3906.4,PEAK,Saturn->Neptune,
2026-10-15,,,3725.8,PEAK,Pluto->Mars,
2026-10-23,,,3371.0,HIGH,Mercury->Pluto,
2026-11-12,,,3288.7,HIGH,Neptune->Uranus,
2026-11-13,,,3690.9,VERY HIGH,Neptune->Uranus,
2026-11-14,,,3257.4,HIGH,Neptune->Uranus,
2026-11-17,,,3257.4,HIGH,Neptune->Uranus,
2026-12-06,,,3453.2,VERY HIGH,Saturn->Saturn,
2026-12-07,,,3266.2,HIGH,Saturn->Saturn,
2026-12-08,,,3253.4,HIGH,Saturn->Saturn,
2026-12-09,,,3424.0,VERY HIGH,Saturn->Saturn,
2026-12-10,,,5345.4,PEAK,Saturn->Saturn,
2026-12-11,,,4661.8,PEAK,Jupiter->N.Node,
2026-12-12,,,6461.6,PEAK,Neptune->Uranus,
2026-12-13,,,4703.0,PEAK,Neptune->Uranus,
2026-12-14,,,4218.8,PEAK,Neptune->Uranus,
2026-12-17,,,3211.2,HIGH,Neptune->Uranus,
2026-12-18,,,3206.0,HIGH,Neptune->Uranus,
2026-12-19,,,3191.8,HIGH,Neptune->Uranus,
2026-12-20,,,3241.6,HIGH,Neptune->Uranus,
2026-12-21,,,3188.8,HIGH,Neptune->Uranus,
2026-12-23,,,3229.2,HIGH,Neptune->Uranus,
2026-12-24,,,3260.8,HIGH,Neptune->Uranus,
2026-12-27,,,3183.4,HIGH,Neptune->Uranus,
2026-12-29,,,3299.0,HIGH,Neptune->Uranus,
2026-12-30,,,3376.8,HIGH,Neptune->Uranus,
2026-12-31,,,3415.3,HIGH,Neptune->Uranus,
2027-01-01,,,3269.5,HIGH,Neptune->Uranus,
2027-01-02,,,3304.6,HIGH,Neptune->Uranus,
2027-01-03,,,3417.7,VERY HIGH,Mars->Neptune,
2027-01-04,,,3273.5,HIGH,Mars->Neptune,
2027-01-05,,,3198.0,HIGH,Neptune->Uranus,
2027-01-08,,,3384.1,HIGH,Mars->Neptune,
2027-01-10,,,3197.7,HIGH,Mars->Neptune,
2027-02-06,,,3295.2,HIGH,Uranus->N.Node,
2027-02-07,,,4129.6,PEAK,Uranus->N.Node,
2027-02-08,,,4231.4,PEAK,Uranus->N.Node,
2027-02-09,,,3765.8,PEAK,Uranus->N.Node,
2027-02-10,,,3389.5,HIGH,Uranus->N.Node,
2027-03-02,,,3618.3,VERY HIGH,Mercury->N.Node,
